age_CE  trsgi   numsamp
792     1091      1
793     1208      1
794     1168      1
795     1017      1
796     1132      1
797      943      1
798     1132      1
799     1063      1
800     1049      1
801     1098      1
802      968      1
803     1071      1
804     1061      1
805     1007      1
806     1036      1
807      980      1
808     1136      1
809      820      1
810     1120      1
811     1219      1
812     1058      1
813     1052      1
814     1047      1
815      999      1
816      990      1
817      997      1
818      985      1
819      968      2
820     1012      2
821     1059      2
822      945      2
823      760      2
824      836      2
825      813      2
826      930      2
827      836      2
828      995      2
829     1001      2
830      806      2
831      904      2
832      923      2
833      899      2
834      992      2
835      871      2
836     1044      2
837     1014      2
838      966      2
839      927      2
840      880      2
841      984      2
842      954      2
843     1042      2
844      915      2
845      892      2
846      959      2
847      798      2
848      956      2
849      991      2
850      919      2
851     1089      2
852     1061      2
853      980      2
854      953      2
855      982      2
856     1084      2
857     1247      2
858     1169      2
859     1304      2
860     1182      2
861     1242      2
862     1149      2
863     1020      2
864      932      2
865      805      2
866     1014      2
867      957      2
868     1045      2
869     1017      2
870     1125      2
871     1065      2
872      967      2
873     1027      2
874     1123      2
875     1144      2
876     1038      2
877      991      2
878     1124      2
879     1098      2
880     1091      2
881     1207      2
882     1052      2
883      965      2
884     1013      2
885      953      2
886      997      2
887      996      2
888      983      2
889     1001      2
890     1036      2
891      930      2
892     1056      2
893     1106      2
894      968      2
895      907      2
896      948      2
897      946      2
898      988      2
899      913      2
900      830      3
901     1048      3
902      946      4
903      990      4
904     1087      4
905     1063      4
906      977      4
907      954      4
908     1002      4
909     1011      4
910      906      4
911      850      4
912      902      4
913      770      4
914      916      4
915      871      4
916      833      4
917      804      4
918      748      4
919      872      4
920      930      4
921      919      4
922      963      4
923      948      4
924      716      4
925      942      4
926     1001      5
927     1051      5
928      993      5
929      837      5
930      786      5
931      983      5
932      998      5
933      876      5
934      937      5
935      969      5
936      977      5
937     1066      5
938      979      5
939      975      5
940     1065      5
941     1036      5
942      995      5
943      878      5
944      768      5
945     1008      5
946     1114      5
947     1021      5
948      996      5
949      978      5
950      956      5
951      967      5
952      939      5
953      906      5
954      813      5
955      977      5
956     1103      5
957      908      5
958     1092      5
959     1220      5
960     1028      5
961      858      5
962      868      5
963      890      5
964      916      5
965      863      5
966      857      5
967      928      5
968     1017      5
969      973      5
970      975      5
971      903      5
972      856      5
973      817      5
974      970      5
975     1036      5
976     1077      5
977      988      5
