age_CE  trsgi   numsamp
326     1065      1
327     1056      1
328     1044      1
329     1190      1
330     1056      1
331     1297      1
332     1376      1
333     1235      1
334     1103      1
335     1226      1
336     1201      1
337     1096      1
338     1175      1
339      973      1
340      939      1
341      886      1
342     1051      1
343      906      1
344      869      1
345      792      1
346      871      1
347      848      1
348      970      1
349     1004      1
350      900      1
351      953      1
352     1079      1
353      857      1
354     1013      1
355      969      1
356     1088      1
357     1022      1
358     1105      1
359     1157      1
360     1129      1
361      726      1
362     1060      1
363     1090      1
364     1135      1
365      855      1
366     1003      1
367      976      1
368      959      1
369      737      1
370      772      1
371      835      1
372      827      1
373      934      1
374      929      1
375      966      1
376      869      1
377      665      1
378      795      1
379      811      1
380      957      1
381      831      1
382     1048      1
383      788      1
384      979      1
385      871      1
386      571      1
387      820      1
388      746      1
389      880      1
390      735      1
391      901      1
392      871      1
393      901      1
394     1047      1
395     1125      1
396      837      1
397      838      1
398      835      1
399      806      1
400      841      1
401      753      1
402      811      1
403      787      1
404      779      1
405     1120      1
406     1567      1
407     1338      1
408     1229      1
409     1244      1
410     1183      1
411     1298      1
412     1192      1
413     1180      1
414     1217      1
415     1336      1
416     1182      1
417      916      1
418     1061      1
419     1154      1
420     1006      1
421      826      1
422     1630      1
423     1332      1
424     1159      1
425     1218      1
426     1284      1
427     1184      1
428      959      1
429     1112      1
430      967      1
431     1102      1
432     1092      1
433     1311      1
434      958      1
435     1086      1
436     1093      1
437      972      1
438      919      1
439      823      1
440      953      1
441     1004      1
442      757      1
443      870      1
444      824      1
445     1003      1
446     1032      1
447      874      1
448      891      1
449      889      1
450      959      1
451     1083      1
452      867      1
453      864      1
454      694      1
455      843      1
456      787      1
457      853      1
458      760      1
459      861      1
460      648      1
461      720      1
462      742      1
463     1042      1
464     1098      1
465     1043      1
466     1025      1
467     1063      1
468     1034      1
469      952      1
470     1107      1
471     1283      1
472     1017      1
473     1049      1
474     1094      1
475      998      1
476     1021      1
477      900      1
478     1040      1
479     1025      1
480     1224      1
481     1373      1
482     1371      1
483     1322      1
484     1234      1
485     1171      1
486     1337      1
487     1141      1
488     1150      1
489     1132      2
490     1132      2
491     1074      2
492     1069      2
493     1039      2
494     1286      2
495     1129      2
496      897      2
497      748      2
498     1005      2
499     1095      2
500     1000      2
501      976      2
502     1003      2
503     1027      2
504     1140      2
505     1021      2
506      832      2
507     1005      2
508     1077      2
509     1022      2
510     1198      2
511     1107      2
512     1047      2
513     1014      2
514      931      2
515     1008      2
516      962      2
517      777      2
518      710      2
519      804      2
520      682      2
521      926      2
522      725      2
523      698      2
524      627      2
525      839      2
526      798      2
527      787      2
528      886      2
529      894      2
530      919      2
531     1068      2
532      990      2
533     1248      2
534      954      2
535     1179      2
536     1169      2
537     1184      2
538     1189      2
539     1134      2
540     1169      2
541     1308      2
542     1242      2
543     1126      2
544     1156      2
545     1057      2
546     1027      2
547      954      2
548      889      2
549      759      2
550      822      2
551      984      2
552      869      2
553      794      2
554      574      2
555      878      2
556     1003      2
557      880      2
558     1186      2
559     1150      2
560     1193      2
561      966      2
562     1211      2
563     1085      2
564     1209      2
565     1047      1
566     1034      1
567     1006      1
568      986      1
569     1143      1
570      930      1
571      905      1
572      939      1
573      961      1
574     1106      1
575     1056      1
576      951      1
577     1079      1
578      969      1
579     1023      1
580      994      1
581     1110      1
582     1023      1
583     1956      1
584     1836      1
585     1431      1
586     1261      1
587     1564      1
588     1270      1
589     1283      1
590     1187      1
591     1139      1
592     1108      1
593     1140      1
594     1308      1
595     1260      1
596     1400      1
597     1073      1
598     1116      1
599     1005      1
600      996      1
601     1063      1
602      831      1
603      900      1
604     1045      1
605     1089      1
606     1036      1
607     1131      1
608     1169      1
609     1060      1
610      995      1
611     1090      1
612     1187      1
613     1023      1
614     1061      1
615     1085      1
616      922      1
617      998      1
618      982      1
619     1118      1
620     1120      1
621     1165      1
622     1207      1
623     1133      1
624     1080      1
625     1262      1
626     1216      1
627     1478      1
628     1415      1
629     1095      1
630     1123      1
631     1154      1
632     1098      1
633     1089      1
634     1172      1
635     1277      1
636     1193      1
637     1218      1
638     1225      1
639     1092      1
640      956      1
641      868      1
642      818      1
643      957      1
644      756      1
645      926      1
646      759      1
647      922      1
648     1058      1
649     1175      1
650      984      1
651      766      1
652      982      1
653      998      1
654      946      1
655      857      1
656      870      1
657      781      1
658      862      1
659      814      1
660     1004      1
661      827      1
662      895      1
663     1032      1
664     1076      1
665     1081      1
666     1048      1
667      820      1
668      845      1
669      810      1
670      907      1
671      800      1
672      957      1
673     1015      1
674      965      1
675      823      1
676      713      1
677      669      1
678      700      1
679      840      1
680      943      1
681      947      1
682      919      1
683      592      1
684      771      1
685      628      1
686      773      1
687      711      1
688      658      1
689      555      1
690      713      1
691      787      1
692      768      1
693      599      1
694      597      1
695      688      1
696      517      1
697      718      1
698      787      1
699      631      1
700      804      1
701      903      1
702      814      1
703      796      1
704      754      1
705      986      1
706      916      1
707      804      1
708      737      1
709      833      1
710      833      1
711      812      1
712      560      1
713      713      1
714      843      2
715     1066      2
716     1075      2
717     1085      2
718     1048      2
719      880      2
720      938      2
721      916      2
722      877      2
723      934      2
724      831      2
725     1023      2
726     1045      2
727     1130      2
728     1071      2
729     1054      2
730     1228      2
731     1331      2
732     1252      2
733     1605      2
734     1459      2
735     1173      2
736     1255      2
737     1189      2
738     1030      2
739     1070      2
740     1013      2
741     1046      2
742      821      2
743     1043      2
744     1163      2
745     1341      2
746     1089      2
747     1166      2
748     1003      2
749     1036      2
750      919      2
751      868      2
752      888      2
753      793      2
754      740      2
755      800      2
756      846      2
757      796      2
758      916      2
759     1046      2
760      883      2
761     1001      2
762      621      2
763      902      2
764      935      2
765     1097      2
766      944      2
767      872      2
768      953      2
769     1103      2
770     1321      2
771     1248      2
772     1190      2
773     1075      2
774      753      2
775     1114      2
776      895      2
777     1064      2
778     1251      2
779      964      2
780     1124      2
781      847      2
782      919      2
783      715      2
784     1089      2
785     1102      2
786      768      2
787      927      2
788      838      2
789     1028      2
790     1278      2
791     1107      2
792     1095      2
793     1215      2
794      987      2
795     1120      2
796     1305      2
797      987      2
798     1226      2
799     1152      2
800     1049      2
801     1010      2
802     1024      2
803     1288      2
804     1025      2
805     1039      2
806     1185      2
807     1145      2
808     1358      2
809      879      2
810      874      2
811      937      2
812      969      2
813      955      2
814     1023      2
815      947      2
816     1185      2
817     1015      2
818      880      2
819      890      2
820     1103      2
821      885      2
822     1049      2
823      822      2
824      915      2
825      909      3
826      985      3
827      957      3
828      995      3
829      966      3
830      998      3
831     1009      3
832     1020      3
833      934      3
834     1014      3
835     1076      3
836     1026      3
837     1074      3
838      966      3
839     1087      3
840     1013      3
841     1144      3
842     1086      3
843     1143      3
844     1000      3
845      956      3
846     1023      3
847      922      3
848      989      3
849     1032      3
850      966      3
851      995      3
852     1050      3
853     1148      3
854     1046      3
855     1005      3
856      869      3
857      928      3
858      828      3
859      795      3
860      761      3
861      623      3
862      797      3
863      753      3
864      751      3
865      595      3
866      703      3
867      677      3
868      663      3
869      789      3
870      758      3
871      668      3
872      540      3
873      678      3
874      756      3
875      738      3
876      601      3
877      606      3
878      774      3
879      826      3
880     1014      3
881      895      3
882      788      3
883      800      3
884      816      3
885      978      3
886      881      3
887      747      3
888      909      3
889      941      3
890      801      3
891      669      3
892      718      3
893      801      3
894      747      3
895      519      3
896      949      3
897      872      3
898      863      3
899      849      3
900      780      3
901      916      3
902      822      3
903     1082      3
904      847      3
905      903      3
906      848      3
907     1071      3
908     1123      3
909     1012      3
910      925      3
911      840      3
912      963      3
913      963      3
914      943      3
915      844      3
916      968      3
917     1268      3
918     1237      3
919      874      3
920     1406      3
921     1226      3
922     1329      3
923     1155      3
924      912      3
925      992      3
926     1012      3
927     1081      3
928     1085      3
929      833      3
930      789      3
931     1014      3
932     1107      3
933     1026      3
934     1159      3
935     1098      3
936     1002      3
937     1159      3
938     1078      3
939     1008      3
940     1207      3
941     1225      3
942     1254      3
943     1366      3
944     1213      3
945     1347      3
946     1449      3
947     1270      3
948      993      3
949     1072      3
950      905      3
951      969      3
952      926      3
953      830      3
954      802      3
955     1192      3
956     1237      3
957      927      3
958      973      3
959     1104      3
960     1120      3
961      963      3
962      827      3
963      898      3
964     1029      3
965      898      3
966      960      3
967      997      3
968     1260      3
969     1050      3
970     1047      3
971      927      3
972     1076      3
973      979      3
974      903      3
975      936      3
976     1160      3
977     1113      3
978     1068      3
979      897      3
980      876      3
981      909      3
982      833      3
983      768      3
984      926      3
985     1029      3
986      751      3
987      762      3
988      767      3
989      872      3
990      759      3
991      895      3
992      698      3
993      964      3
994      951      3
995      757      3
996      759      3
997      944      3
998     1181      3
999     1033      3
1000    1227      3
1001    1447      3
1002    1351      3
1003    1232      3
1004    1229      3
1005    1035      3
1006    1205      3
1007    1123      3
1008    1095      3
1009    1092      3
1010    1072      3
1011     980      3
1012     885      3
1013     923      3
1014    1099      3
1015    1095      3
1016    1038      3
1017    1157      3
1018     959      3
1019    1064      3
1020     828      3
1021     963      3
1022     873      3
1023    1120      3
1024    1026      3
1025     794      3
1026     936      3
1027     952      3
1028     979      3
1029     998      3
1030     857      3
1031     975      3
1032     803      3
1033     897      3
1034     932      3
1035     936      3
1036    1093      3
1037    1018      3
1038     861      3
1039     838      3
1040     871      3
1041    1067      3
1042    1116      3
1043    1206      3
1044     795      3
1045    1096      3
1046     886      3
1047     914      3
1048     928      3
1049     906      3
1050    1032      3
1051    1072      3
1052     732      3
1053     808      3
1054    1041      3
1055     884      3
1056    1102      3
1057     918      3
1058     868      3
1059     591      3
1060     870      3
1061     961      3
1062    1218      3
1063    1219      3
1064    1026      3
1065    1077      3
1066     982      3
1067    1061      3
1068    1047      3
1069     899      3
1070     631      3
1071    1166      3
1072     862      3
1073     849      3
1074     898      3
1075    1120      3
1076    1190      3
1077     914      3
1078     955      3
1079    1083      3
1080     959      3
1081     812      3
1082     726      3
1083    1309      3
1084    1123      3
1085    1180      3
1086    1027      3
1087    1247      3
1088    1104      3
1089    1075      3
1090     861      3
1091    1065      3
1092     941      3
1093    1013      3
1094    1002      3
1095     940      3
1096     835      3
1097     927      3
1098     914      3
1099    1046      3
1100    1262      3
1101    1017      3
1102    1503      3
1103    1626      3
1104    1400      3
1105    1610      3
1106    1301      3
1107    1261      3
1108    1146      3
1109    1347      3
1110    1225      3
1111    1078      3
1112     989      3
1113    1162      3
1114    1171      3
1115    1053      3
1116    1303      3
1117    1184      3
1118    1094      3
1119    1080      3
1120    1346      3
1121    1192      3
1122    1159      3
1123    1109      3
1124    1100      3
1125    1027      3
1126     927      3
1127     865      3
1128     967      3
1129     948      3
1130    1067      3
1131     999      3
1132    1086      3
1133    1101      3
1134    1038      3
1135    1082      3
1136    1083      3
1137    1176      3
1138    1149      3
1139    1189      3
1140    1063      3
1141     975      3
1142    1177      3
1143    1108      3
1144    1024      3
1145     988      3
1146    1104      3
1147    1001      3
1148     902      3
1149    1007      3
1150     889      3
1151    1064      2
1152     875      2
1153    1073      2
1154    1154      2
1155    1175      2
1156     888      2
1157    1072      2
1158    1134      2
1159    1119      2
1160    1078      2
1161    1033      2
1162     976      2
1163    1093      2
1164     968      2
1165    1175      2
1166    1159      2
1167    1285      2
1168    1139      3
1169    1280      3
1170    1136      3
1171    1343      3
1172    1235      3
1173    1091      3
1174    1162      3
1175     966      3
1176    1049      3
1177    1084      3
1178    1073      3
1179    1135      3
1180     958      3
1181    1160      3
1182    1030      3
1183     994      3
1184    1167      3
1185    1117      3
1186    1241      3
1187    1105      3
1188    1032      3
1189    1057      3
1190    1124      3
1191    1223      3
1192    1171      3
1193    1215      3
1194    1092      3
1195    1093      3
1196    1092      3
1197    1158      3
1198    1048      3
1199    1108      3
1200    1297      3
1201    1181      3
1202    1116      3
1203     982      3
1204    1006      3
1205     858      3
1206     887      3
1207    1028      3
1208     828      3
1209     912      3
1210     910      3
1211     810      3
1212     816      3
1213     807      3
1214    1049      3
1215    1038      3
1216    1032      3
1217    1021      3
1218    1093      3
1219    1001      3
1220    1004      3
1221     934      3
1222     988      3
1223     969      3
1224     925      3
1225    1002      3
1226     895      3
1227     819      3
1228     803      3
1229    1057      3
1230     944      3
1231     727      3
1232     693      3
1233     826      3
1234     850      3
1235     848      3
1236     860      3
1237     957      3
1238     870      3
1239     881      3
1240     840      3
1241     859      3
1242     802      3
1243     766      3
1244     902      3
1245     870      3
1246    1056      3
1247    1048      3
1248    1067      3
1249     986      3
1250     893      3
1251    1006      3
1252    1022      3
1253    1080      3
1254     840      3
1255     966      3
1256     963      3
1257     791      3
1258    1179      3
1259    1050      3
1260     989      3
1261     769      3
1262     965      3
1263     979      3
1264     844      3
1265    1012      3
1266    1105      3
1267    1068      3
1268     922      3
1269     945      3
1270    1033      3
1271     984      3
1272     999      3
1273     824      3
1274    1032      3
1275     885      3
1276     929      3
1277    1030      3
1278    1151      3
1279     835      3
1280     982      3
1281     932      3
1282    1037      3
1283     942      3
1284     886      3
1285     746      3
1286    1148      3
1287    1048      3
1288     947      3
1289     989      3
1290    1097      3
1291    1061      3
1292    1014      3
1293     937      3
1294    1025      3
1295    1018      3
1296    1011      3
1297    1220      3
1298    1272      3
1299    1078      3
1300    1242      3
1301    1080      3
1302     987      3
1303     769      3
1304     893      3
1305     972      3
1306     939      3
1307     994      3
1308     978      4
1309     830      4
1310    1006      4
1311    1092      4
1312    1010      4
1313     984      4
1314    1135      4
1315    1079      4
1316    1008      4
1317    1060      4
1318    1027      4
1319    1006      4
1320     956      4
1321     832      4
1322     971      4
1323     973      4
1324     915      4
1325     899      4
1326     973      4
1327    1157      4
1328    1047      4
1329    1054      4
1330    1248      4
1331    1230      4
1332    1072      4
1333     951      4
1334     987      4
1335     732      4
1336     946      4
1337     924      4
1338     829      4
1339     924      4
1340     868      4
1341     996      4
1342     958      4
1343     859      4
1344     954      4
1345     998      4
1346     975      4
1347     984      4
1348     996      4
1349    1079      4
1350     819      4
1351     733      4
1352     740      4
1353    1047      4
1354    1037      4
1355    1001      4
1356     918      4
1357     897      4
1358     870      4
1359     854      4
1360     781      4
1361     910      4
1362     878      4
1363     927      4
1364    1087      4
1365    1045      4
1366    1251      4
1367    1265      4
1368    1159      4
1369     982      4
1370     912      4
1371     960      4
1372     981      4
1373    1038      4
1374     987      4
